SampleName,Bacteroides_coprocola,Bacteroides_coprophilus,Bacteroides_pectinophilus,Bacteroides_plebeius,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bifidobacterium_catenulatum,Blautia_obeum,Clostridiales_bacterium_CCNA10,Clostridium_glycyrrhizinilyticum,Coprococcus_comes,Dorea_formicigenerans,Eubacterium_ramulus,Eubacterium_rectale,Faecalibacterium_prausnitzii,Fusicatenibacter_saccharivorans,Intestinimonas_butyriciproducens,Lachnospiraceae_bacterium_GAM79,Mediterranea_massiliensis,Prevotella_copri,Pseudoflavonifractor_capillosus,Roseburia_faecis,Roseburia_intestinalis,Roseburia_inulinivorans,Ruminococcus_faecis,Ruminococcus_lactaris,Tyzzerella_nexilis
SRR5898908,0.00030153216381786615,0.0005257866289214475,0.00118663593375871,0.00016221642675737764,0.004788633850036457,0.0055236059429475395,0.0017826209572708274,0.0019010227672888367,0.0025009242631856866,0.0010331311979788753,0.00025089178989674046,0.006309504209882534,0.000624115678987563,0.0013498451885564514,0.09212674838871898,0.023787640250272593,0.0009355196263483814,0.0029616979447235734,0.014613376263208838,0.012053153344701336,0.7790860926799335,0.0005616678298408087,0.020161998843438878,0.0018161010043718415,0.019256691926167066,0.002526409007508377,0.0007838428956908059,0.0010885929957878111
SRR5898909,0.014755772151904272,0.0013214377278785354,0.0016773186509482696,0.01262973233480634,0.0077844947212191585,0.19885094218883342,0.4161310033373195,0.005832325505330453,0.0013656492421918525,0.0009608216758497853,0.0007598603540697133,0.0033755586644984704,0.0014462454879403542,0.0011770676631483266,0.0169388882909606,0.09967547030404783,0.0036057680160665934,0.0006109387969101118,0.006930373462942401,0.002499817717218935,0.0007128532777716114,0.0007950421171972362,0.03174298461610228,0.00507548068543601,0.15965306275548882,0.001596233132901392,0.0007726746585572168,0.0013221824624603802
SRR5898910,0.00509334773944625,0.0004331287361246606,0.0005170927112369216,0.0005552336065999965,0.006006547066668365,0.012120471568760387,0.014319012775035372,0.0025955871265125412,0.0018727274473474935,7.982107587764136e-05,9.224151470250077e-05,0.0015872210613305682,0.002542392109452232,0.00017712551213193753,0.03294852274575535,0.007230336182547781,0.00035375617319222954,0.0001282786560238832,0.0030530442389971654,0.022071462643738667,0.85776135267817,4.536404048549292e-05,0.0033851171188349948,0.0010771172290611156,0.022766781486167686,0.000502282375703792,0.00010386816534239071,0.0005807662147525131
SRR5898911,0.0001581106931648546,0.0005934762953088216,0.0010208760507864271,0.00018274168351203445,0.003923817830952143,0.0026048411388393585,0.004824840542969824,0.0009489801938588744,0.0026227426955751747,0.00013924916757076906,0.00010084297967113312,0.0006951901426311641,0.00029496089731972735,0.00034109018940196173,0.09948478277889294,0.011390782043035938,0.0004376721323206873,0.00016456940822615713,0.00047423183532166105,0.014178524889763957,0.8460168603837679,5.078962253225478e-05,0.0051172096854756426,0.0014944676216419274,0.0011761153873595922,0.0001787753992308982,0.00037619621260447133,0.0010072620982634537
SRR5898912,0.001255196535442014,0.0006863539246722537,0.000648112235148699,0.0011101372904902347,0.0070589395506833385,0.00954502589830028,0.016907382658270007,5.7871210987816725e-05,0.0005643188872268564,0.0014016994498235948,0.0001583333581104555,0.00040315863110341153,0.00027391832852156385,0.00043081661175066184,0.01658223847434007,0.004459984863220427,0.00042143819414090723,0.000980572952612174,0.026598026432655915,0.02838781955146907,0.871520432556423,0.00020067786444939717,0.005243218194549268,0.0020742141284277667,0.002173102205248685,0.00020676652520554888,0.00021260159270713495,0.00043764189401945944
SRR5898913,0.10065526407853968,0.004283453517366917,0.000128015153083679,0.04057153666914915,0.004158104401009894,0.005960972872117966,0.0266620458836969,7.274964066945823e-05,0.0013936581634364047,5.7372596339167716e-05,4.386413822371494e-05,0.00043763396894943543,7.061829814283382e-05,7.597665144205584e-05,0.0030699174465063385,0.0015686053130184795,0.00015161345979959,0.00011443460678188045,0.0018475856700494156,0.01018338088923893,0.7939310569876044,5.069013391506533e-05,0.0024763404304758946,0.000351419407481702,0.0014331902447550578,0.00010038845449566901,4.004401642297767e-05,0.00011006690728738616
SRR5898914,0.04109492053938121,0.0036907471706117715,0.0001849873498251592,0.11525506547376728,0.06814083093460875,0.05057788673581556,0.1916879650404104,0.005334170732909109,0.0015797108497615116,0.00033090266346655394,7.184865784415581e-05,0.00017214674400493698,0.00012540560739097626,0.00016088470915809832,0.0005257092407354494,0.011136629800153994,0.00031395094514391627,0.0009229461002218299,0.0022722571464588196,0.005417551445862198,0.48804978795443443,0.00026134509405311205,0.00657680919153758,0.0014489703380986157,0.0040432999131130255,0.00023836642670932597,5.375956022818432e-05,0.00033114363429407483
SRR5898915,0.0010113514549664683,0.00036298591355107536,0.16446514455013003,7.089752357452154e-05,0.00356628843283641,0.008408000081679832,0.0017421845052955122,0.0026701623346197935,0.02214082236168063,0.001861561707903253,0.000385672224446343,0.01807791808224138,0.0015131386349548485,0.001997660566569074,0.10080732365777823,0.023005402359388298,0.0026954267309172108,0.0031679217882309174,0.0072287096240697315,0.032651931649188504,0.5485882328378849,0.0005520101503982733,0.0251196358905945,0.004709308713934675,0.01709910586754201,0.0017986914121324775,0.0013470170997497727,0.0029554938437414517
SRR5898916,0.034020128500718144,0.027133935476479975,0.0003693598948022873,0.607762482780941,0.015771443237344356,0.07489891309596992,0.18422879794944913,0.0013936388199525655,0.000691653417489954,0.0010768436746954777,0.000116946608587275,0.0002243559824405263,0.0004217014279999347,0.0006234586951796382,0.0006058706117937468,0.01788875341168551,0.0012392622010207154,0.004457592647286502,0.001742129426057792,0.0022344006962558443,0.00025176519013845786,0.0006861162606196407,0.011216354876990731,0.00043934655930788084,0.008843542943421,0.0005633020045376182,0.00031476578619958774,0.0007831378226346468
SRR5898917,0.004913329950899633,0.007740368364770484,0.09281472367135822,0.0004964414107407597,0.01159464214173101,0.028654895936177333,0.005124138429280143,0.0006784486865080324,0.005441993542487148,0.012669110398115564,0.0005833476333787516,0.0027389973821308885,0.0018150087306552602,0.0027177492647661524,0.03891672093151124,0.029089448834254086,0.0035213788221503343,0.011641553954759189,0.16223023755869756,0.05146628458500364,0.44874517528123364,0.002321953064308932,0.04410861503806997,0.006575971849292624,0.014749549934943654,0.002166396980779739,0.0026405596037532603,0.0038429580182425525
SRR5898918,0.0005705007673609106,4.882388297730317e-05,0.0015489717799262255,0.0003570427687262302,0.0012528145139273294,0.013333359040781806,0.011338576094400886,0.09274130204078061,0.2405408030076812,0.0016868490954450115,0.001322833483709827,0.031324476163432764,0.023605786377033467,0.0026986621089973846,0.02438667797683111,0.14022815406510325,0.019427867498171315,0.0012834559511402113,0.006970776644732545,0.1156155227163083,0.216743382424391,0.001211384427248257,0.01286481382757335,0.00276997478678661,0.01353546359552808,0.015502848277598688,0.004324202052102021,0.002764674631304415
SRR5898919,0.00335248887413037,0.025274268075485423,0.0016270623590057649,0.002559410937057669,0.02057846690469229,0.005043136649421734,0.021248381077718183,0.0027957143724037263,0.006029109397853292,0.0024715122331314347,0.0005308437631918077,0.00814672180032404,0.004655636380548266,0.0019602689453866408,0.02715550841499685,0.0922238923624708,0.0023119403084761203,0.001745642006825915,0.005207693939617315,0.013796409048313089,0.6625525394609104,0.0007743109500069241,0.057011194679270336,0.011048625602391312,0.008691892083229992,0.0064459842945400825,0.0022222460303893805,0.002539099048210834
SRR5898920,0.00496618800784152,0.00035171341579088656,0.003586503878164681,9.33962337278019e-05,0.009271901637066218,0.012170120251554046,0.0018761132637037134,0.004164454160943424,0.01261055986263571,0.0014089521163447364,0.00029724541152761425,0.010612036616298672,0.003129070674802313,0.0030935460084928657,0.22474467014783545,0.01791549121396801,0.001265589212254953,0.003956441250162694,0.028100219314244636,0.02053198284787581,0.5219751992467574,0.0007529231215764885,0.055635208305008614,0.006942752865727551,0.03818108254339413,0.009591414008286354,0.0009228926495996597,0.0018523317344140348
SRR5898921,0.023814441749118648,0.0028230150706626007,0.001614923875106637,0.0888031197074093,0.01621742119723435,0.02713821236025017,0.06113553046906454,0.014078828311978632,0.024479249122451044,0.0030158494694329436,0.0009604916929841918,0.0018499388137711071,0.0017711244815268423,0.0030010941172328343,0.011947307942765871,0.06662583044956034,0.006139941917801871,0.007680802083142238,0.011947448106794068,0.013437037962493048,0.5623315515398941,0.0016060946132039015,0.023476282947769374,0.002873421050424259,0.0084710156617784,0.007694048395821329,0.0029086252436155012,0.0021573516467117016
SRR5898922,0.004581960984230601,0.0002935430972046281,0.001992620894522103,0.0030876512527016906,0.03310107180332221,0.09253552797813161,0.566382247487509,0.0045487018947173,0.0016991211641779282,0.0003290553256740258,0.0005700310436024359,0.00499805705116605,0.0013314351721631225,0.0030630277706078742,0.01789403565789656,0.015925467538872758,0.0012312200608850508,0.00017173324522628042,0.004469195881073759,0.0016879523091921209,0.00013627984580898345,0.00020757530355479677,0.15506641472996502,0.04886764786675074,0.031379001100802946,0.0019319408348402287,0.0005481146867577822,0.0019693680186425406
SRR5898923,0.0012366632875183943,0.0027338328198895485,0.0016273264157982692,0.0009429808742179447,0.010805260363575497,0.05828176922533478,0.005973532219124935,0.0032100810739769717,0.00938829880658749,0.0005230676070037746,0.0002056407557368894,0.006766924650610817,0.0009113126117005941,0.0010744658233579024,0.1195210103707555,0.008930069249488649,0.001054462531546084,0.00044623916972560886,0.05451800537996529,0.035604085705735464,0.6572130153604402,0.0001505228380601518,0.002640142369995882,0.0016151774255837208,0.007294497479137703,0.005470562065417616,0.0005969793117491389,0.0012640742079650772
SRR5898924,0.0011230274577142287,0.0011531517530053922,0.000325426141266063,0.01441169965960355,0.004888489234199977,0.006377643296510307,0.0036414958823821554,0.003314960956663822,0.0015425050454907147,0.00030576577713689785,0.00012417596411188855,0.0013173322200495778,0.0002304885122341805,0.00015176727968195514,0.010664184681722942,0.0083602826172386,0.00014722280402483878,0.0002676585502291967,0.0005240050448454738,0.014895005441298624,0.9144091522935471,8.368157889380537e-05,0.007166448962251336,0.0013009348108329408,0.0009679020269305516,0.0018842497987645664,0.0001490534238220294,0.0002722887855473003
SRR5898925,0.0002061035292235341,0.0012453783185933784,8.132971438048426e-05,0.0004684218564843838,0.0061974378798733635,0.0033506530102334455,0.0024664087836943436,0.00012012953663224748,0.0005578329782807509,7.007117755233515e-05,0.00010224365657721929,0.0005077804505781594,9.616690603152559e-05,9.842873232240133e-05,0.004112916849470828,0.0020771054769714112,0.00025133836447810594,6.451605677024843e-05,0.00036201824366648724,0.026126980410968118,0.9424432767408732,2.9043596992354192e-05,0.0034104859161700426,0.00021241188196363477,0.004551198737372486,0.0006197556848760791,5.7210625540097324e-05,0.00011335488342929985
SRR5898926,0.0002463679607696945,0.0018053631019294694,0.0006622211943537897,0.00011987969734646491,0.008242653701928726,0.017668340393434928,0.0023909948826398944,0.00022834397400912958,0.0020913383738124635,0.0004454031569128793,0.00010865520714704448,0.0029660290856536905,0.001270779525283391,0.0006281792046010707,0.07381795534903915,0.003368325305810808,0.0007604753221044611,0.0004318728612646516,0.007625845251075247,0.032830105703979526,0.8180596325642941,0.0001400213585324208,0.008133052684100623,0.005458920272280567,0.008554536059887029,0.0009823078693080105,0.0003838831659216255,0.0005785167725789215
SRR5898927,0.0010585678397069908,0.00036760091266413957,0.027790696129070442,0.0012106434566590454,0.00335550245548821,0.011107845568281377,0.008129693950691762,0.002079468878088065,0.006836684332712926,0.0020161062281849004,0.0007652251515836826,0.022180947477268315,0.00354107076287488,0.0031152687418737304,0.013981228484022803,0.040595988207311175,0.007517004290431076,0.001105789722581343,0.027153412272055612,0.00027748707644399884,0.002447885768154334,0.0014625893125904833,0.10278383832118855,0.03693708441507355,0.658139849732579,0.005332174681023723,0.004034650157122481,0.004675695674273287
SRR5898928,0.17091928092022712,0.02430508967267433,0.0008730468580571571,0.05149880372030123,0.04089830017505967,0.10261112420801882,0.5115845785365419,4.545835019005939e-05,0.0027824094407451977,0.0011351941223173207,0.00017306843074914327,0.0009986672645841456,0.0010279790148406036,0.0006731469274203863,0.003112497338756038,0.03319365681934632,0.0022492933724527816,0.0008172993436170923,0.0022503734711718008,0.0030882738634433714,0.00039786663250160825,0.000923696590373627,0.0009358618646799327,0.0013610680070856847,0.036496473229091816,0.001011938351781149,0.00037917871169867225,0.004256374762272918
SRR5898929,0.002168167456389839,0.0016925737683706516,0.0012201756194884425,0.0020496391136114412,0.007537068683586718,0.030825932202756274,0.007282431184637011,0.00012191245260183007,0.009126546753790809,0.000606777001622556,0.00023632247670402035,0.0005139395182143308,0.0004813441324322129,0.0005493957197174671,0.005716491783011535,0.02451589266804309,0.002087797437152929,0.0013966850544559403,0.11024575445782288,0.019314796246222163,0.7147151649694623,0.0004043299243709434,0.02834395031084911,0.0035489934392896353,0.015644452696293564,0.0007965577582371801,0.007620074388440533,0.0012368327824248512
SRR5898930,0.0022052494243467516,0.001290793315115537,0.0015482466327173027,0.05665009934053899,0.000840118818652809,0.0013875771156610726,0.026037308835342977,5.9565858684293886e-05,0.003636000889697247,0.0003494451982624401,0.00028158168782333425,0.0005755787161231457,0.0018428554193475766,0.0006810463044575713,0.04640055983808544,0.017848922479410462,0.002743652984124675,9.64388365198989e-05,0.002565641362283211,0.011330881924041945,0.7171707424571585,7.884548031499868e-05,0.03237871189591689,0.018952691276218528,0.05106620011191081,0.0006756639094753057,0.00021458519282865538,0.0010909946949394435
SRR5898931,0.07962491068503903,0.004068792511813314,0.002120507645956201,0.006715303706630944,0.011183744132580786,0.09416580219336491,0.04558863552281314,0.003332422600721771,0.005894855103856389,0.004963132508664259,0.0002922805095054761,0.0006631911275347859,0.0008316815299663953,0.001163471189997622,0.003008612347509614,0.022662369780882496,0.002750439127494668,0.00682112243122172,0.11933927392807223,0.012558498089759807,0.5356671813128402,0.0012794102612823772,0.016431686542243012,0.005490899362982047,0.00814755741882917,0.001449594805933258,0.00038415290502412516,0.003400470717480124
SRR5898932,0.00013569027054890657,0.000999775160808595,0.0010697909513778276,0.00022808898318524675,0.003563639110366639,0.0032086752866136814,0.00355216150770408,1.8271703298122432e-05,0.001387824323839277,0.000597517256306497,0.000203168041151387,0.0014274506650972611,0.0007565528252985668,0.0011041126498839238,0.11106172011332506,0.01419308519789788,0.0009602364479326155,0.0002682630303462334,0.002971011016283031,0.01780743296141589,0.8118556936828805,0.0001730028773616122,0.00580308035639999,0.0036900800752252775,0.005169908717334541,0.0006864478559045682,0.005700793907834555,0.0014065250243782826
SRR5898933,0.003112865581962569,0.0017973856356287062,0.0013244138170671821,0.04732685929093238,0.01841340990413274,0.0035430352533560427,0.07592725825503534,0.00019894931713624605,0.0019544872957873867,0.0007618813134778427,0.0002415902964458916,0.000684528952944999,0.0012754507320384785,0.0006157900346461264,0.012253440623240082,0.03832691748109926,0.0010538862808605633,0.0002772767094625968,0.03760400614779811,0.010073131368615824,0.6545599992931652,0.0005140284561675133,0.014133191911377524,0.018076575524168356,0.0536984805667312,0.0005111668666860861,0.0003442544238738005,0.0013957386661617743
SRR5898934,0.0006047483184190768,0.0009257811972121057,0.002043479243843463,0.0004849916685309164,0.0061212290992425505,0.007008202495684038,0.004407105109473381,0.0003292117249337861,0.002264938129866356,0.0009728487358630812,0.00013140111873423705,0.0011377128946366136,0.0011815213520734098,0.0013977385671300555,0.03940189022013599,0.014404800776475274,0.0014679504765892004,0.0013050908072215323,0.08735218195903592,0.030176927753450884,0.7523693068298148,0.00029513101745084786,0.00722312020615656,0.003308543609900402,0.027786353995866618,0.0021420950070343055,0.002225082196303337,0.001530615488921288
SRR5898935,0.0032968989920958936,0.0007700339575445588,0.0005343658236323077,0.08342785179315715,0.006373669080326244,0.004724729041961366,0.01046964080768772,0.0007498565599686442,0.0010969045163216039,0.0024716190428439432,0.0001422797792109501,0.0005535525572402615,0.0009569943520421756,0.00041006386485446014,0.0034969436595039924,0.008844444019797414,0.0009741858134285978,0.001613691977417792,0.004538659832619575,0.010490382839909988,0.8303652735789943,0.00046932240840969375,0.0029792255554056436,0.00086236211125152,0.005643526033621849,0.0039040426175521873,0.008657882574279182,0.0011815968089208225
SRR5898936,0.0062164660589486016,0.0018697729531275678,0.004107892885213764,0.0024166824127899774,0.013365702523421513,0.027319413020899953,0.00811820349510757,0.005856770192712383,0.009411825091558449,0.0027949348535866833,0.0004304398032226928,0.001737848192718847,0.0015241876198242945,0.002453211022832866,0.010526399170690799,0.02138889306847013,0.008709265226061073,0.0030089598322404943,0.05687341028339946,0.008040161170425577,0.7642334951617646,0.0010809770666989939,0.017185147665401333,0.004763155137181058,0.009696373465298305,0.0026356152213686574,0.0005541034947998853,0.0036806939102342995
SRR5898937,0.008744012007671574,0.0024646414736569145,0.0077079729664957216,0.03477243074406605,0.00963936229437698,0.03218953882843063,0.039305687170822286,0.002912790398256444,0.012044108090328942,0.0037330387065115235,0.00035664825735031526,0.0029376495180431423,0.0024484140775298674,0.0020128714936328757,0.03200045955498735,0.049109078653116416,0.004058614801415141,0.0024230771186968037,0.1158778046169047,0.015587245539876775,0.5336507176190032,0.001100371717024069,0.03772115103171158,0.007297706351673346,0.019848640456813907,0.0021740143760221858,0.012512325057601532,0.005369627077979688
SRR5898938,0.002605839697423742,0.0007734303241231151,0.0008213406411528925,0.0007895738213819259,0.007733233786259555,0.01563108901083418,0.007487761821375308,0.001464460576766674,0.004434698114310241,0.0022371688409730532,0.0002027045291483816,0.0021867851645687494,0.0011962569874699083,0.0009678229891537071,0.0011887557019620654,0.058646180788433616,0.0034034281274765146,0.007056993848324508,0.0036393819016162193,0.011277540659425494,0.8210348990823485,0.0004831332532959456,0.007002545345207607,0.0016404164477560148,0.03203531515854366,0.002447354073150527,0.0005684011973624616,0.001043488110155234
SRR5898939,0.028692759121622266,0.0019172530360495863,0.00209094049415167,0.06270996390628428,0.028129437229710435,0.0412895590994582,0.07212002101411447,0.0012035718267031559,0.0034755939968832703,0.002730400058514467,0.0003138501801370056,0.0029546945052314976,0.0017374920057828746,0.002569728073444713,0.02903458136445982,0.042028662541388935,0.003240202651027963,0.0013896980902249716,0.0521282634155116,0.006115304323133391,0.5013965092800987,0.000908291703345177,0.016189597758677697,0.005313343697717752,0.07460391698479034,0.004282320998674225,0.009041170660369998,0.0023928719824913985
SRR5898940,0.029269485956900772,0.0002878369304550962,0.004251801297413735,0.012940515904738223,0.0016236376916409876,0.12434850427564326,0.06723863531230015,0.002443935333734021,0.009061080115129187,0.0007601468205549831,0.0006354494916950899,0.0009971902786573264,0.0006356836143996535,0.0028216108329296267,0.0052123604215593596,0.08249298052931715,0.004882174823271325,0.0002538498525848464,0.2469396330422738,0.0027564205502405978,0.0001087919142559786,0.0004046747584596031,0.03263656819868672,0.09176310066292646,0.2645695988499239,0.0036160829829146052,0.0010158060596878395,0.0060324434977058
SRR5898941,0.01655037786817254,0.0660391558907725,0.01040481856726629,0.003481515411134218,0.012721482523010462,0.028914125057630552,0.024589193100431107,0.0003507054911541097,0.01681755503097674,0.00753620377289891,0.0009842178397557462,0.0055412712024015395,0.004247276423155945,0.0071157361631591755,0.03048895478577691,0.13848955700569113,0.013958325525873276,0.014160871602858064,0.36536258456209014,0.001800008977340451,0.021159469346139406,0.006149350718711309,0.08976055054996379,0.03452303951938415,0.05970821167888942,0.004928174922123038,0.006889980265074954,0.007327286198164118
